date,region_id,disease_code,disease_name,case_count,severity_avg,outbreak_occurred
2020-01-01,13,B50.0,Plasmodium Falciparum Malaria,15,1.74,0
2020-01-01,13,A00.9,Cholera,9,2.78,0
2020-01-01,13,U07.1,COVID-19,28,2.71,0
2020-01-01,13,B05,Measles,48,2.22,0
2020-01-01,13,J18.9,Pneumonia,64,2.83,0
2020-01-01,13,A39.9,Meningococcal Infection,23,2.1,0
2020-01-01,13,K29.7,Gastritis,19,1.71,0
2020-01-01,13,J45.9,Asthma,109,2.49,0
2020-01-01,14,A90,Dengue Fever,14,2.31,0
2020-01-01,14,B50.0,Plasmodium Falciparum Malaria,13,1.75,0
2020-01-01,14,A39.9,Meningococcal Infection,10,2.65,0
2020-01-01,15,B50.0,Plasmodium Falciparum Malaria,22,2.62,0
2020-01-01,15,J18.9,Pneumonia,68,2.68,0
2020-01-01,15,J45.9,Asthma,97,1.97,0
2020-01-01,16,J10.1,Influenza,60,1.86,0
2020-01-01,16,B05,Measles,36,1.92,0
2020-01-01,16,A37.9,Whooping Cough,16,2.39,0
2020-01-01,16,A39.9,Meningococcal Infection,14,1.69,0
2020-01-01,16,I10,Hypertension,26,1.54,0
2020-01-01,17,A90,Dengue Fever,24,1.83,0
2020-01-01,17,B50.0,Plasmodium Falciparum Malaria,28,1.95,0
2020-01-01,17,A00.9,Cholera,14,2.3,0
2020-01-01,17,J10.1,Influenza,107,2.29,0
2020-01-01,17,B05,Measles,48,1.53,0
2020-01-01,17,J18.9,Pneumonia,68,2.45,0
2020-01-01,17,A37.9,Whooping Cough,36,2.59,0
2020-01-01,17,E11,Type 2 Diabetes,37,2.11,0
2020-01-01,17,K29.7,Gastritis,14,2.36,0
2020-01-01,18,A90,Dengue Fever,19,2.87,0
2020-01-01,18,J10.1,Influenza,73,2.64,0
2020-01-01,18,J18.9,Pneumonia,45,2.45,0
2020-01-01,18,A37.9,Whooping Cough,25,2.68,0
2020-01-01,18,A39.9,Meningococcal Infection,16,2.73,0
2020-01-01,18,I10,Hypertension,23,2.74,0
2020-01-01,19,B50.0,Plasmodium Falciparum Malaria,37,2.46,0
2020-01-01,19,B16,Hepatitis B,4,1.72,0
2020-01-01,19,I10,Hypertension,26,2.98,0
2020-01-01,19,J45.9,Asthma,1813,3.14,1
2020-01-01,20,A90,Dengue Fever,10,1.51,0
2020-01-01,20,J10.1,Influenza,68,2.18,0
2020-01-01,20,J18.9,Pneumonia,56,2.56,0
2020-01-01,20,J45.9,Asthma,55,2.37,0
2020-01-01,21,B05,Measles,35,1.56,0
2020-01-01,21,J18.9,Pneumonia,33,2.84,0
2020-01-01,21,A37.9,Whooping Cough,18,1.71,0
2020-01-01,21,B16,Hepatitis B,4,1.72,0
2020-01-01,22,A00.9,Cholera,64,2.51,1
2020-01-01,22,B05,Measles,35,2.79,0
2020-01-01,22,A37.9,Whooping Cough,18,2.49,0
2020-01-01,22,I10,Hypertension,23,1.94,0
2020-01-01,22,K29.7,Gastritis,127,3.97,1
2020-01-01,23,A00.9,Cholera,11,1.54,0
2020-01-01,23,J10.1,Influenza,87,2.3,0
2020-01-01,23,U07.1,COVID-19,30,1.81,0
2020-01-01,23,A09,Gastroenteritis,16,1.55,0
2020-01-01,23,A37.9,Whooping Cough,19,1.61,0
2020-01-01,23,K29.7,Gastritis,17,2.09,0
2020-01-01,24,B50.0,Plasmodium Falciparum Malaria,70,2.68,1
2020-01-01,24,J10.1,Influenza,63,1.6,0
2020-01-01,24,U07.1,COVID-19,19,2.19,0
2020-01-01,24,B16,Hepatitis B,5,2.11,0
2020-01-01,24,E11,Type 2 Diabetes,23,2.01,0
2020-01-01,24,J45.9,Asthma,36,2.62,0
2020-01-01,25,U07.1,COVID-19,12,1.65,0
2020-01-01,25,A09,Gastroenteritis,16,1.98,0
2020-01-01,25,B16,Hepatitis B,6,2.33,0
2020-01-01,25,A39.9,Meningococcal Infection,7,2.6,0
2020-01-01,25,J45.9,Asthma,31,2.86,0
2020-01-01,26,U07.1,COVID-19,19,2.74,0
2020-01-01,26,B05,Measles,35,1.95,0
2020-01-01,26,A09,Gastroenteritis,7,2.54,0
2020-01-01,26,B16,Hepatitis B,17,3.1,1
2020-01-01,26,A39.9,Meningococcal Infection,5,1.71,0
2020-01-01,27,A90,Dengue Fever,13,2.55,0
2020-01-01,27,B50.0,Plasmodium Falciparum Malaria,3,2.85,0
2020-01-01,27,J10.1,Influenza,45,2.71,0
2020-01-01,27,U07.1,COVID-19,12,2.66,0
2020-01-01,27,A09,Gastroenteritis,7,2.85,0
2020-01-01,27,A37.9,Whooping Cough,190,3.55,1
2020-01-01,27,B16,Hepatitis B,5,1.88,0
2020-01-01,27,E11,Type 2 Diabetes,18,1.78,0
2020-01-01,27,I10,Hypertension,23,2.27,0
2020-01-01,28,B50.0,Plasmodium Falciparum Malaria,13,2.99,0
2020-01-01,28,A00.9,Cholera,6,1.86,0
2020-01-01,28,B05,Measles,21,2.86,0
2020-01-01,28,B16,Hepatitis B,2,2.91,0
2020-01-01,28,A39.9,Meningococcal Infection,12,2.21,0
2020-01-01,28,K29.7,Gastritis,162,3.39,1
2020-01-01,29,A90,Dengue Fever,18,2.6,0
2020-01-01,29,B50.0,Plasmodium Falciparum Malaria,12,1.85,0
2020-01-01,29,A37.9,Whooping Cough,29,2.93,0
2020-01-01,29,I10,Hypertension,17,2.09,0
2020-01-01,30,J18.9,Pneumonia,40,2.4,0
2020-01-01,30,A09,Gastroenteritis,8,2.72,0
2020-01-01,30,A37.9,Whooping Cough,10,2.98,0
2020-01-01,30,J45.9,Asthma,56,2.97,0
2020-01-01,31,B50.0,Plasmodium Falciparum Malaria,132,3.15,1
2020-01-01,31,A00.9,Cholera,7,2.32,0
2020-01-01,31,A37.9,Whooping Cough,258,2.81,1
2020-01-01,31,I10,Hypertension,14,2.61,0
2020-01-01,32,B50.0,Plasmodium Falciparum Malaria,6,2.57,0
2020-01-01,32,B05,Measles,21,2.03,0
2020-01-01,32,J18.9,Pneumonia,39,1.77,0
2020-01-01,32,B16,Hepatitis B,3,2.65,0
2020-01-01,32,A39.9,Meningococcal Infection,13,2.11,0
2020-01-01,32,E11,Type 2 Diabetes,15,2.71,0
2020-01-01,32,I10,Hypertension,10,2.68,0
2020-01-01,32,K29.7,Gastritis,45,2.65,1
2020-01-01,33,A90,Dengue Fever,3,2.66,0
2020-01-01,33,B50.0,Plasmodium Falciparum Malaria,15,3.04,1
2020-01-01,33,B05,Measles,14,2.43,0
2020-01-01,33,J18.9,Pneumonia,17,1.81,0
2020-01-01,33,A09,Gastroenteritis,3,2.53,0
2020-01-01,33,B16,Hepatitis B,104,3.51,1
2020-01-01,33,A39.9,Meningococcal Infection,4,2.82,0
2020-01-01,33,I10,Hypertension,8,2.31,0
2020-01-01,33,J45.9,Asthma,21,2.63,0
2020-01-01,34,A90,Dengue Fever,13,2.7,0
2020-01-01,34,B50.0,Plasmodium Falciparum Malaria,4,2.92,0
2020-01-01,34,U07.1,COVID-19,330,3.14,1
2020-01-01,34,E11,Type 2 Diabetes,9,2.37,0
2020-01-01,34,K29.7,Gastritis,9,2.92,0
2020-01-01,34,J45.9,Asthma,24,1.85,0
2020-01-01,35,J10.1,Influenza,46,2.76,0
2020-01-01,35,B05,Measles,25,2.92,0
2020-01-01,35,A09,Gastroenteritis,7,2.61,0
2020-01-01,35,A37.9,Whooping Cough,22,2.56,0
2020-01-01,35,B16,Hepatitis B,4,2.23,0
2020-01-01,36,B50.0,Plasmodium Falciparum Malaria,73,3.27,1
2020-01-01,36,A00.9,Cholera,4,2.59,0
2020-01-01,36,J18.9,Pneumonia,307,3.32,1
2020-01-01,36,A09,Gastroenteritis,5,2.42,0
2020-01-01,36,A39.9,Meningococcal Infection,9,1.58,0
2020-01-01,36,K29.7,Gastritis,14,1.78,0
2020-01-01,37,U07.1,COVID-19,13,1.92,0
2020-01-01,37,E11,Type 2 Diabetes,7,2.98,0
2020-01-01,38,B50.0,Plasmodium Falciparum Malaria,123,3.53,1
2020-01-01,38,U07.1,COVID-19,11,2.33,0
2020-01-01,38,K29.7,Gastritis,10,2.32,0
2020-01-01,38,J45.9,Asthma,51,1.8,0
2020-01-01,39,A90,Dengue Fever,14,1.55,0
2020-01-01,39,A00.9,Cholera,6,2.97,0
2020-01-01,39,A09,Gastroenteritis,6,2.83,0
2020-01-01,39,B16,Hepatitis B,5,2.08,0
2020-01-01,39,A39.9,Meningococcal Infection,15,2.88,0
2020-01-01,40,B50.0,Plasmodium Falciparum Malaria,6,1.85,0
2020-01-01,40,J10.1,Influenza,19,1.52,0
2020-01-01,40,A09,Gastroenteritis,9,1.55,0
2020-01-01,40,B16,Hepatitis B,1,2.99,0
2020-01-01,40,E11,Type 2 Diabetes,11,2.84,0
2020-01-01,40,I10,Hypertension,7,1.81,0
2020-01-01,41,J18.9,Pneumonia,44,1.52,0
2020-01-01,41,A39.9,Meningococcal Infection,9,2.77,0
2020-01-01,41,I10,Hypertension,14,2.17,0
2020-01-01,42,A90,Dengue Fever,20,1.54,0
2020-01-01,42,U07.1,COVID-19,61,3.54,1
2020-01-01,42,A09,Gastroenteritis,8,2.39,0
2020-01-01,42,A39.9,Meningococcal Infection,11,2.44,0
2020-01-01,42,E11,Type 2 Diabetes,12,2.62,0
2020-01-01,42,I10,Hypertension,15,1.79,0
2020-01-01,42,K29.7,Gastritis,9,1.83,0
2020-01-01,42,J45.9,Asthma,34,2.52,0
2020-01-01,43,A90,Dengue Fever,10,1.99,0
2020-01-01,43,B05,Measles,18,1.97,0
2020-01-01,43,J18.9,Pneumonia,32,1.9,0
2020-01-01,43,B16,Hepatitis B,4,2.65,0
2020-01-01,43,E11,Type 2 Diabetes,14,2.1,0
2020-01-01,43,I10,Hypertension,18,1.65,0
2020-01-01,44,A90,Dengue Fever,2,2.26,0
2020-01-01,44,A37.9,Whooping Cough,15,2.6,0
2020-01-01,44,J45.9,Asthma,31,1.79,0
2020-01-01,45,B50.0,Plasmodium Falciparum Malaria,6,1.82,0
2020-01-01,45,A09,Gastroenteritis,6,1.96,0
2020-01-01,45,A37.9,Whooping Cough,8,2.84,0
2020-01-01,45,B16,Hepatitis B,5,2.63,0
2020-01-01,45,K29.7,Gastritis,7,2.08,0
2020-01-01,45,J45.9,Asthma,37,2.52,0
2020-01-01,46,B50.0,Plasmodium Falciparum Malaria,6,2.36,0
2020-01-01,46,A00.9,Cholera,7,2.22,0
2020-01-01,46,A37.9,Whooping Cough,12,2.23,0
2020-01-01,46,B16,Hepatitis B,4,1.54,0
2020-01-01,47,B50.0,Plasmodium Falciparum Malaria,13,1.89,0
2020-01-01,47,U07.1,COVID-19,13,2.98,0
2020-01-01,47,J45.9,Asthma,30,1.78,0
2020-01-01,48,A90,Dengue Fever,8,2.77,0
2020-01-01,48,J10.1,Influenza,31,1.75,0
2020-01-01,48,U07.1,COVID-19,7,2.53,0
2020-01-01,48,J18.9,Pneumonia,33,2.35,0
2020-01-01,49,A90,Dengue Fever,6,2.52,0
2020-01-01,49,A09,Gastroenteritis,3,2.41,0
2020-01-01,49,E11,Type 2 Diabetes,220,2.86,1
2020-01-01,49,I10,Hypertension,16,2.21,0
2020-01-01,49,J45.9,Asthma,35,2.22,0
2020-01-01,50,A90,Dengue Fever,9,2.29,0
2020-01-01,50,B50.0,Plasmodium Falciparum Malaria,2,2.93,0
2020-01-01,50,J10.1,Influenza,24,1.73,0
2020-01-01,50,J18.9,Pneumonia,31,1.79,0
2020-01-01,50,A39.9,Meningococcal Infection,12,2.48,0
2020-01-01,50,E11,Type 2 Diabetes,12,2.8,0
2020-01-01,50,K29.7,Gastritis,7,1.91,0
2020-01-01,51,A90,Dengue Fever,6,1.51,0
2020-01-01,51,A00.9,Cholera,6,2.75,0
2020-01-01,51,U07.1,COVID-19,16,2.28,0
2020-01-01,51,A09,Gastroenteritis,7,2.77,0
2020-01-01,51,B16,Hepatitis B,2,2.7,0
2020-01-01,51,E11,Type 2 Diabetes,14,1.5,0
2020-01-01,51,K29.7,Gastritis,7,2.9,0
2020-01-01,51,J45.9,Asthma,51,2.72,0
2020-01-01,52,B50.0,Plasmodium Falciparum Malaria,9,2.88,0
2020-01-01,52,A00.9,Cholera,3,2.64,0
2020-01-01,52,J10.1,Influenza,40,1.5,0
2020-01-01,52,J18.9,Pneumonia,36,2.9,0
2020-01-01,52,A09,Gastroenteritis,7,2.65,0
2020-01-01,53,J10.1,Influenza,36,2.54,0
2020-01-01,53,A37.9,Whooping Cough,15,2.87,0
2020-01-01,53,K29.7,Gastritis,6,2.96,0
2020-01-01,53,J45.9,Asthma,35,2.48,0
2020-01-01,54,B50.0,Plasmodium Falciparum Malaria,6,2.83,0
2020-01-01,54,A00.9,Cholera,106,3.14,1
2020-01-01,54,A37.9,Whooping Cough,12,2.87,0
2020-01-01,54,B16,Hepatitis B,2,1.95,0
2020-01-01,54,A39.9,Meningococcal Infection,8,2.15,0
2020-01-01,55,B50.0,Plasmodium Falciparum Malaria,5,2.76,0
2020-01-01,55,J10.1,Influenza,26,2.58,0
2020-01-01,55,E11,Type 2 Diabetes,13,2.23,0
2020-01-01,55,I10,Hypertension,8,1.53,0
2020-01-01,56,B50.0,Plasmodium Falciparum Malaria,8,2.05,0
2020-01-01,56,A09,Gastroenteritis,8,2.77,0
2020-01-01,56,B16,Hepatitis B,1,2.9,0
2020-01-01,56,A39.9,Meningococcal Infection,8,2.49,0
2020-01-01,56,I10,Hypertension,22,2.68,0
2020-01-01,56,K29.7,Gastritis,19,1.72,0
2020-01-01,57,A39.9,Meningococcal Infection,7,2.16,0
2020-01-01,57,E11,Type 2 Diabetes,13,1.62,0
2020-01-01,58,U07.1,COVID-19,271,3.38,1
2020-01-01,58,J18.9,Pneumonia,49,2.61,0
2020-01-01,58,A09,Gastroenteritis,10,2.03,0
2020-01-01,59,B50.0,Plasmodium Falciparum Malaria,14,2.44,0
2020-01-01,59,A00.9,Cholera,7,2.86,0
2020-01-01,59,J18.9,Pneumonia,47,2.06,0
2020-01-01,59,B16,Hepatitis B,2,1.99,0
2020-01-01,60,B50.0,Plasmodium Falciparum Malaria,15,2.56,0
2020-01-01,60,J18.9,Pneumonia,61,2.44,0
2020-01-01,60,A39.9,Meningococcal Infection,11,2.75,0
2020-01-01,60,E11,Type 2 Diabetes,19,2.75,0
2020-01-01,60,I10,Hypertension,203,3.81,1
2020-01-01,61,B50.0,Plasmodium Falciparum Malaria,4,2.83,0
2020-01-01,61,U07.1,COVID-19,13,2.21,0
2020-01-01,61,B05,Measles,31,2.41,0
2020-01-01,61,K29.7,Gastritis,7,1.66,0
2020-01-01,61,J45.9,Asthma,28,2.86,0
2020-01-01,62,U07.1,COVID-19,9,1.51,0
2020-01-01,62,A09,Gastroenteritis,10,2.52,0
2020-01-01,62,A39.9,Meningococcal Infection,9,2.51,0
2020-01-01,62,J45.9,Asthma,351,3.32,1
2020-01-01,63,B50.0,Plasmodium Falciparum Malaria,6,1.86,0
2020-01-01,63,A00.9,Cholera,5,1.74,0
2020-01-01,63,A09,Gastroenteritis,9,1.59,0
2020-01-01,63,E11,Type 2 Diabetes,240,2.98,1
2020-01-01,64,A09,Gastroenteritis,10,2.06,0
2020-01-01,64,I10,Hypertension,12,2.88,0
2020-01-01,65,U07.1,COVID-19,6,2.94,0
2020-01-01,65,B05,Measles,13,1.94,0
2020-01-01,65,J18.9,Pneumonia,26,1.93,0
2020-01-01,65,A37.9,Whooping Cough,9,2.34,0
2020-01-01,65,B16,Hepatitis B,4,1.66,0
2020-01-01,66,A90,Dengue Fever,7,2.36,0
2020-01-01,66,B50.0,Plasmodium Falciparum Malaria,5,2.13,0
2020-01-01,66,J10.1,Influenza,37,2.96,0
2020-01-01,66,U07.1,COVID-19,9,2.34,0
2020-01-01,66,E11,Type 2 Diabetes,13,1.76,0
2020-01-01,67,A90,Dengue Fever,11,1.7,0
2020-01-01,67,A00.9,Cholera,3,2.7,0
2020-01-01,67,B05,Measles,14,1.93,0
2020-01-01,67,J18.9,Pneumonia,27,1.8,0
2020-01-01,67,I10,Hypertension,11,1.69,0
2020-01-01,67,K29.7,Gastritis,6,2.27,0
2020-01-01,68,B50.0,Plasmodium Falciparum Malaria,7,2.29,0
2020-01-01,68,U07.1,COVID-19,11,2.56,0
2020-01-01,68,B05,Measles,16,2.48,0
2020-01-01,68,J18.9,Pneumonia,30,1.99,0
2020-01-01,68,B16,Hepatitis B,2,2.34,0
2020-01-01,68,A39.9,Meningococcal Infection,6,1.86,0
2020-01-01,68,J45.9,Asthma,32,1.71,0
2020-01-01,69,J10.1,Influenza,483,3.17,1
2020-01-01,69,U07.1,COVID-19,8,2.92,0
2020-01-01,69,B05,Measles,19,2.95,0
2020-01-01,69,J18.9,Pneumonia,20,1.85,0
2020-01-01,70,B50.0,Plasmodium Falciparum Malaria,12,1.56,0
2020-01-01,70,U07.1,COVID-19,10,2.43,0
2020-01-01,70,J18.9,Pneumonia,38,2.51,0
2020-01-01,70,A09,Gastroenteritis,4,2.43,0
2020-01-01,70,A39.9,Meningococcal Infection,15,1.73,0
2020-01-01,70,J45.9,Asthma,48,2.09,0
2020-01-01,71,A90,Dengue Fever,8,2.83,0
2020-01-01,71,J10.1,Influenza,35,2.97,0
2020-01-01,71,B05,Measles,21,2.8,0
2020-01-01,71,A09,Gastroenteritis,87,3.81,1
2020-01-01,71,B16,Hepatitis B,6,2.23,0
2020-01-01,71,A39.9,Meningococcal Infection,7,2.42,0
2020-01-01,72,B50.0,Plasmodium Falciparum Malaria,9,2.65,0
2020-01-01,72,J18.9,Pneumonia,526,3.24,1
2020-01-01,72,A39.9,Meningococcal Infection,11,1.67,0
2020-01-01,72,E11,Type 2 Diabetes,15,1.91,0
2020-01-01,72,K29.7,Gastritis,10,2.5,0
2020-01-01,72,J45.9,Asthma,49,2.26,0
2020-01-01,73,B50.0,Plasmodium Falciparum Malaria,14,2.26,0
2020-01-01,73,J10.1,Influenza,48,2.02,0
2020-01-01,73,B16,Hepatitis B,3,2.05,0
2020-01-01,73,J45.9,Asthma,48,2.85,0
2020-01-01,74,B05,Measles,27,2.45,0
2020-01-01,74,J18.9,Pneumonia,47,2.14,0
2020-01-01,74,A09,Gastroenteritis,108,3.48,1
2020-01-01,74,B16,Hepatitis B,2,2.43,0
2020-01-01,75,A90,Dengue Fever,7,1.99,0
2020-01-01,75,A00.9,Cholera,1,1.75,0
2020-01-01,75,U07.1,COVID-19,9,2.39,0
2020-01-01,75,B16,Hepatitis B,3,2.32,0
2020-01-01,75,A39.9,Meningococcal Infection,139,3.59,1
2020-01-01,75,E11,Type 2 Diabetes,13,2.09,0
2020-01-01,76,A90,Dengue Fever,14,2.38,0
2020-01-01,76,B05,Measles,30,2.1,0
2020-01-01,76,A09,Gastroenteritis,7,1.93,0
2020-01-01,76,A37.9,Whooping Cough,23,2.8,0
2020-01-01,76,I10,Hypertension,21,2.74,0
2020-01-01,77,B50.0,Plasmodium Falciparum Malaria,11,2.81,0
2020-01-01,77,A00.9,Cholera,5,1.68,0
2020-01-01,77,J18.9,Pneumonia,22,2.95,0
2020-01-01,78,A90,Dengue Fever,4,2.7,0
2020-01-01,78,B50.0,Plasmodium Falciparum Malaria,109,3.36,1
2020-01-01,78,B05,Measles,15,1.53,0
2020-01-01,78,J18.9,Pneumonia,29,2.08,0
2020-01-01,78,A09,Gastroenteritis,11,2.83,0
2020-01-01,78,A39.9,Meningococcal Infection,9,2.2,0
2020-01-01,78,E11,Type 2 Diabetes,179,3.48,1
2020-01-01,79,B50.0,Plasmodium Falciparum Malaria,9,2.76,0
2020-01-01,79,A00.9,Cholera,4,2.71,0
2020-01-01,79,J10.1,Influenza,773,2.65,1
2020-01-01,79,U07.1,COVID-19,93,3.73,1
2020-01-01,79,B05,Measles,25,2.35,0
2020-01-01,79,B16,Hepatitis B,3,2.03,0
2020-01-01,79,K29.7,Gastritis,9,1.62,0
2020-01-01,80,A90,Dengue Fever,7,2.9,0
2020-01-01,80,B50.0,Plasmodium Falciparum Malaria,10,1.82,0
2020-01-01,80,A00.9,Cholera,3,2.46,0
2020-01-01,80,J18.9,Pneumonia,31,2.08,0
2020-01-01,80,A39.9,Meningococcal Infection,7,2.38,0
2020-01-01,80,J45.9,Asthma,31,2.94,0
2020-01-01,81,A00.9,Cholera,8,2.01,0
2020-01-01,81,A37.9,Whooping Cough,88,3.42,1
2020-01-01,81,B16,Hepatitis B,4,1.57,0
2020-01-01,81,A39.9,Meningococcal Infection,5,2.23,0
2020-01-01,81,E11,Type 2 Diabetes,59,3.07,1
2020-01-01,82,B50.0,Plasmodium Falciparum Malaria,10,2.02,0
2020-01-01,82,J10.1,Influenza,49,2.89,0
2020-01-01,82,U07.1,COVID-19,10,2.63,0
2020-01-01,82,A09,Gastroenteritis,10,2.79,0
2020-01-01,82,A37.9,Whooping Cough,12,2.34,0
2020-01-01,82,B16,Hepatitis B,3,1.77,0
2020-01-01,82,A39.9,Meningococcal Infection,9,1.68,0
2020-01-01,83,U07.1,COVID-19,2,2.4,0
2020-01-01,83,B05,Measles,11,2.65,0
2020-01-01,83,J18.9,Pneumonia,14,2.09,0
2020-01-01,83,A39.9,Meningococcal Infection,5,1.51,0
2020-01-01,83,J45.9,Asthma,17,1.65,0
2020-01-01,84,U07.1,COVID-19,5,1.66,0
2020-01-01,84,B05,Measles,12,2.01,0
2020-01-01,84,J45.9,Asthma,20,1.92,0
2020-01-01,85,A37.9,Whooping Cough,12,1.66,0
2020-01-01,86,J10.1,Influenza,22,1.85,0
2020-01-01,86,J18.9,Pneumonia,20,2.9,0
2020-01-01,86,A39.9,Meningococcal Infection,7,2.87,0
2020-01-01,86,E11,Type 2 Diabetes,9,1.94,0
2020-01-01,86,J45.9,Asthma,25,2.33,0
2020-01-01,87,A00.9,Cholera,3,2.02,0
2020-01-01,87,A37.9,Whooping Cough,4,1.59,0
2020-01-01,87,A39.9,Meningococcal Infection,21,2.68,1
2020-01-01,87,I10,Hypertension,4,2.93,0
2020-01-01,87,J45.9,Asthma,14,2.18,0
2020-01-01,88,U07.1,COVID-19,1,2.56,0
2020-01-01,88,A37.9,Whooping Cough,5,1.97,0
2020-01-01,88,A39.9,Meningococcal Infection,2,2.84,0
2020-01-01,88,E11,Type 2 Diabetes,6,2.16,0
2020-01-01,89,B50.0,Plasmodium Falciparum Malaria,5,2.43,0
2020-01-01,89,A00.9,Cholera,2,2.02,0
2020-01-01,89,A39.9,Meningococcal Infection,3,2.23,0
2020-01-01,90,J10.1,Influenza,19,2.92,0
2020-01-01,90,A09,Gastroenteritis,3,2.66,0
2020-01-01,91,J10.1,Influenza,32,2.17,0
2020-01-01,91,U07.1,COVID-19,5,2.2,0
2020-01-01,91,B05,Measles,14,2.58,0
2020-01-01,91,J18.9,Pneumonia,21,2.45,0
2020-01-01,91,A09,Gastroenteritis,3,1.71,0
2020-01-01,91,I10,Hypertension,9,1.61,0
2020-01-01,91,J45.9,Asthma,22,2.91,0
2020-01-01,92,A90,Dengue Fever,6,2.07,0
2020-01-01,92,B50.0,Plasmodium Falciparum Malaria,4,2.26,0
2020-01-01,92,A00.9,Cholera,4,1.97,0
2020-01-01,92,B05,Measles,128,3.15,1
2020-01-01,92,B16,Hepatitis B,3,2.36,0
2020-01-01,92,A39.9,Meningococcal Infection,4,2.43,0
2020-01-01,93,A90,Dengue Fever,2,2.51,0
2020-01-01,93,A09,Gastroenteritis,8,2.33,0
2020-01-01,93,A37.9,Whooping Cough,5,2.25,0
2020-01-01,93,A39.9,Meningococcal Infection,9,2.8,0
2020-01-01,93,E11,Type 2 Diabetes,12,2.59,0
2020-01-01,93,K29.7,Gastritis,2,2.57,0
2020-01-01,94,A00.9,Cholera,5,2.67,0
2020-01-01,94,E11,Type 2 Diabetes,10,1.71,0
2020-01-01,95,A00.9,Cholera,4,2.18,0
2020-01-01,95,B05,Measles,18,2.45,0
2020-01-01,95,A37.9,Whooping Cough,6,2.58,0
2020-01-01,95,I10,Hypertension,10,2.5,0
2020-01-01,95,K29.7,Gastritis,5,1.69,0
2020-01-01,95,J45.9,Asthma,22,2.51,0
2020-01-01,96,A09,Gastroenteritis,8,2.21,0
2020-01-01,96,E11,Type 2 Diabetes,9,2.75,0
2020-01-01,97,A90,Dengue Fever,7,2.01,0
2020-01-01,97,B50.0,Plasmodium Falciparum Malaria,9,2.8,0
