date,region_id,temperature_celsius,humidity_percent,rainfall_mm,aqi,pm25,pm10,water_quality_index
2020-01-01,90,14.9,68,77.0,140,70,98,8.2
2020-01-01,91,24.1,68,66.3,155,77,108,8.4
2020-01-01,92,16.9,61,65.8,142,71,99,6.6
2020-01-01,93,23.9,47,42.4,128,64,89,10.2
2020-01-01,94,24.6,53,47.1,147,73,102,9.4
2020-01-01,95,19.7,67,66.4,141,70,98,10.3
2020-01-01,96,28.3,53,62.0,102,51,71,9.3
2020-01-01,97,20.5,55,8.8,148,74,103,10.5
2020-01-01,98,21.4,58,34.3,110,55,77,9.5
2020-01-01,99,19.1,60,48.5,131,65,91,6.7
2020-01-01,100,13.7,57,42.4,118,59,82,8.2
2020-01-01,101,15.3,40,4.4,137,68,95,7.0
2020-01-01,102,15.4,63,25.1,127,63,88,6.8
2020-01-01,103,19.7,65,19.1,149,74,104,7.7
2020-01-01,104,16.8,65,95.5,145,72,101,6.3
2020-01-01,105,18.5,40,44.2,139,69,97,8.0
2020-01-01,106,20.9,48,17.2,134,67,93,8.0
2020-01-01,107,20.2,76,51.6,112,56,78,8.1
2020-01-01,108,18.8,66,23.2,126,63,88,8.9
2020-01-01,109,21.8,64,40.0,109,54,76,8.5
2020-01-01,110,29.6,55,63.1,101,50,70,9.1
2020-01-01,111,17.7,41,36.3,124,62,86,8.8
2020-01-01,112,28.0,71,45.7,115,57,80,8.4
2020-01-01,113,25.5,49,33.7,112,56,78,8.1
2020-01-01,114,24.2,62,26.1,156,78,109,7.7
2020-01-01,115,24.3,58,42.5,101,50,70,7.6
2020-01-01,116,24.4,75,58.0,140,70,98,8.6
2020-01-01,117,24.8,63,7.0,109,54,76,5.0
2020-01-01,118,24.9,48,21.9,150,75,105,9.2
2020-01-01,119,22.1,68,18.5,145,72,101,9.5
2020-01-01,120,15.3,64,37.9,101,50,70,9.3
2020-01-01,121,21.3,49,16.4,140,70,98,9.4
2020-01-01,122,15.3,47,20.7,145,72,101,9.3
2020-01-01,123,15.2,63,0.0,136,68,95,7.0
2020-01-01,124,19.2,42,30.7,131,65,91,9.0
2020-01-01,125,14.7,51,12.9,125,62,87,8.9
2020-01-01,126,20.3,46,0.0,121,60,84,10.2
2020-01-01,127,25.2,58,57.7,157,78,109,6.8
2020-01-01,128,22.0,58,16.0,116,58,81,6.1
2020-01-01,129,16.6,68,75.4,112,56,78,8.9
2020-01-01,130,22.1,51,0.1,108,54,75,8.0
2020-01-01,131,22.2,44,9.7,114,57,79,9.0
2020-01-01,132,22.6,54,10.7,156,78,109,7.3
2020-01-01,133,25.3,59,18.1,143,71,100,7.5
2020-01-01,134,14.3,48,0.0,139,69,97,7.6
2020-01-01,135,15.9,58,20.9,104,52,72,6.8
2020-01-01,136,17.7,57,38.2,156,78,109,6.1
2020-01-01,137,17.0,64,66.4,134,67,93,6.3
2020-01-01,138,21.7,56,12.8,126,63,88,7.3
2020-01-01,139,19.4,52,51.3,133,66,93,7.6
2020-01-01,140,21.5,62,12.3,123,61,86,6.7
2020-01-01,141,22.9,50,15.8,151,75,105,8.1
2020-01-01,142,19.1,40,28.4,147,73,102,8.8
2020-01-01,143,13.6,78,66.9,235,117,164,7.7
2020-01-01,144,10.7,57,40.7,232,116,162,8.8
2020-01-01,145,11.1,82,79.8,250,125,175,7.7
2020-01-01,146,11.0,55,48.8,270,135,189,5.8
2020-01-01,147,11.5,48,0.0,205,102,143,7.3
2020-01-01,148,11.9,61,15.5,294,147,205,8.1
2020-01-01,149,13.5,60,0.0,243,121,170,8.0
2020-01-01,150,19.6,44,35.2,130,65,91,7.0
2020-01-01,151,19.4,48,0.0,118,59,82,7.9
2020-01-01,152,17.4,71,25.8,142,71,99,5.9
2020-01-01,153,20.1,53,55.6,140,70,98,7.1
2020-01-01,154,19.2,45,34.5,158,79,110,6.8
2020-01-01,155,20.1,53,52.2,132,66,92,7.2
2020-01-01,156,22.9,59,49.4,153,76,107,7.0
2020-01-01,157,21.3,51,0.0,106,53,74,6.6
2020-01-01,158,19.9,52,16.8,137,68,95,7.3
2020-01-01,159,19.7,43,17.9,151,75,105,4.3
2020-01-01,160,14.0,55,0.7,136,68,95,6.2
2020-01-01,161,14.8,64,18.5,134,67,93,5.4
2020-01-01,162,5.7,33,1.4,145,72,101,8.4
2020-01-01,163,11.6,58,29.1,132,66,92,7.5
2020-01-01,164,16.4,53,36.6,140,70,98,5.8
2020-01-01,165,15.6,55,50.3,120,60,84,4.8
2020-01-01,166,9.1,64,21.9,144,72,100,8.2
2020-01-01,167,9.0,59,26.7,101,50,70,5.8
2020-01-01,168,14.5,63,46.7,106,53,74,6.7
2020-01-01,169,17.5,63,79.1,151,75,105,7.9
2020-01-01,170,17.1,68,57.8,149,74,104,8.4
2020-01-01,171,19.8,63,51.5,156,78,109,7.2
2020-01-01,172,11.8,56,72.3,148,74,103,9.3
2020-01-01,173,23.7,65,84.9,150,75,105,8.6
2020-01-01,174,20.3,63,15.5,148,74,103,7.0
2020-01-01,175,20.0,44,13.0,126,63,88,5.9
2020-01-01,176,22.8,56,9.7,138,69,96,7.7
2020-01-01,177,23.0,60,28.2,142,71,99,8.8
2020-01-01,178,19.2,53,20.5,147,73,102,7.2
2020-01-01,179,22.8,61,19.9,147,73,102,7.1
2020-01-01,180,18.8,44,29.7,123,61,86,6.7
2020-01-01,181,23.8,60,10.8,114,57,79,6.3
2020-01-01,182,19.3,62,64.1,155,77,108,5.6
2020-01-01,183,14.9,33,23.8,125,62,87,8.5
2020-01-01,184,19.4,66,63.6,119,59,83,7.0
2020-01-01,185,24.6,62,53.1,149,74,104,6.4
2020-01-01,186,19.9,52,24.7,121,60,84,8.1
2020-01-01,187,23.2,55,0.0,159,79,111,8.0
2020-01-01,188,20.4,64,44.6,146,73,102,6.0
2020-01-01,189,23.6,53,37.9,154,77,107,6.5
2020-01-01,190,18.4,42,37.5,132,66,92,6.6
2020-01-01,191,18.5,45,12.9,143,71,100,6.6
2020-01-01,192,19.8,41,41.6,146,73,102,7.8
2020-01-01,193,17.5,40,0.1,120,60,84,7.0
2020-01-01,194,20.0,44,56.8,151,75,105,7.1
2020-01-01,195,17.6,53,52.0,141,70,98,5.1
2020-01-01,196,19.5,62,76.0,134,67,93,6.2
2020-01-01,197,21.8,53,1.7,112,56,78,6.0
2020-01-01,198,18.3,57,60.4,137,68,95,6.7
2020-01-01,199,17.0,40,41.5,159,79,111,6.2
2020-01-01,200,18.3,48,8.4,132,66,92,9.5
2020-01-01,201,17.5,71,36.7,150,75,105,8.7
2020-01-01,202,20.1,55,12.2,133,66,93,5.8
2020-01-01,203,25.9,47,0.0,113,56,79,8.2
2020-01-01,204,18.7,43,23.1,151,75,105,7.3
2020-01-01,205,21.6,58,0.0,152,76,106,7.6
2020-01-01,206,23.7,53,66.4,149,74,104,6.2
2020-01-01,207,23.2,42,17.1,123,61,86,5.4
2020-01-01,208,19.8,48,12.8,114,57,79,8.3
2020-01-01,209,15.7,63,43.4,139,69,97,7.3
2020-01-01,210,19.3,64,26.9,120,60,84,7.2
2020-01-01,211,24.2,57,32.9,106,53,74,8.9
2020-01-01,212,22.5,56,38.2,153,76,107,8.3
2020-01-01,213,21.8,61,40.3,107,53,74,8.5
2020-01-01,214,24.6,64,34.8,154,77,107,8.2
2020-01-01,215,18.8,54,22.5,137,68,95,9.4
2020-01-01,216,19.5,43,44.8,149,74,104,8.1
2020-01-01,217,19.0,61,56.8,113,56,79,6.8
2020-01-01,218,23.5,53,3.2,114,57,79,6.0
2020-01-01,219,13.8,40,56.3,117,58,81,4.6
2020-01-01,220,20.0,60,34.4,103,51,72,6.5
2020-01-01,221,17.6,71,68.1,128,64,89,3.9
2020-01-01,222,22.1,60,18.6,112,56,78,5.8
2020-01-01,223,21.9,53,31.5,158,79,110,7.3
2020-01-01,224,19.4,50,14.0,141,70,98,6.9
2020-01-01,225,16.4,47,30.0,129,64,90,7.0
2020-01-01,226,19.5,51,28.2,155,77,108,5.3
2020-01-01,227,16.3,60,9.1,150,75,105,5.6
2020-01-01,228,25.5,65,78.6,158,79,110,7.1
2020-01-01,229,21.1,63,14.7,106,53,74,5.5
2020-01-01,230,23.6,49,30.3,123,61,86,6.7
2020-01-01,231,24.3,53,21.7,116,58,81,5.3
2020-01-01,232,26.5,50,0.0,123,61,86,5.1
2020-01-01,233,21.6,59,26.3,119,59,83,7.3
2020-01-01,234,23.5,49,31.8,131,65,91,5.6
2020-01-01,235,27.1,61,19.9,150,75,105,6.3
2020-01-01,236,23.0,43,58.4,151,75,105,6.5
2020-01-01,237,21.9,40,33.9,118,59,82,4.8
2020-01-01,238,26.3,71,26.6,152,76,106,9.1
2020-01-01,239,21.8,58,18.5,121,60,84,7.3
2020-01-01,240,16.3,55,14.5,123,61,86,7.3
2020-01-01,241,18.7,67,27.7,145,72,101,9.0
2020-01-01,242,16.0,67,20.3,107,53,74,7.4
2020-01-01,243,25.5,46,74.8,158,79,110,6.2
2020-01-01,244,17.6,39,0.0,108,54,75,8.2
2020-01-01,245,22.9,48,13.2,145,72,101,7.5
2020-01-01,246,12.1,51,25.7,274,137,191,7.7
2020-01-01,247,14.9,56,63.2,307,153,214,8.4
2020-01-01,248,10.8,52,21.6,291,145,203,7.7
2020-01-01,249,7.4,55,61.3,307,153,214,7.7
2020-01-01,250,14.9,46,0.0,196,98,137,7.1
2020-01-01,251,14.3,66,85.0,300,150,210,7.9
2020-01-01,252,9.6,34,23.9,269,134,188,7.0
2020-01-01,253,13.7,75,15.2,220,110,154,6.9
2020-01-01,254,9.8,44,10.5,294,147,205,9.4
2020-01-01,255,13.4,55,33.7,277,138,193,6.4
2020-01-01,256,8.1,45,7.7,244,122,170,6.8
2020-01-01,257,13.2,50,11.7,203,101,142,6.8
2020-01-01,258,9.8,52,0.0,231,115,161,9.6
2020-01-01,259,21.2,44,38.7,152,76,106,4.4
2020-01-01,260,15.8,82,106.4,102,51,71,7.3
2020-01-01,261,17.1,55,19.1,124,62,86,7.5
2020-01-01,262,22.9,75,50.9,130,65,91,7.3
2020-01-01,263,15.7,46,67.5,126,63,88,6.7
2020-01-01,264,22.4,45,38.0,118,59,82,8.2
2020-01-01,265,21.1,32,5.9,113,56,79,7.6
2020-01-01,266,23.0,72,8.4,129,64,90,8.1
2020-01-01,267,19.1,65,2.3,129,64,90,5.7
2020-01-01,268,19.8,53,0.0,136,68,95,9.7
2020-01-01,269,19.3,50,18.8,159,79,111,5.2
2020-01-01,270,22.1,64,38.3,146,73,102,6.6
2020-01-01,271,21.3,72,46.8,149,74,104,7.3
2020-01-01,272,27.4,55,16.0,146,73,102,6.4
2020-01-01,273,19.7,44,21.5,123,61,86,8.0
2020-01-01,274,23.7,67,8.3,129,64,90,6.5
2020-01-01,275,18.8,57,0.0,117,58,81,6.4
2020-01-01,276,22.3,34,0.0,159,79,111,6.9
2020-01-01,277,21.5,45,19.1,122,61,85,9.5
2020-01-01,278,20.6,45,52.4,154,77,107,5.3
2020-01-01,279,21.8,61,18.0,140,70,98,5.9
2020-01-01,280,24.5,56,0.0,125,62,87,4.1
2020-01-01,281,21.4,39,15.9,147,73,102,5.9
2020-01-01,282,21.2,54,18.9,152,76,106,6.7
2020-01-01,283,17.7,67,12.1,109,54,76,8.0
2020-01-01,284,20.0,46,46.3,128,64,89,8.3
2020-01-01,285,21.3,56,6.1,151,75,105,5.5
2020-01-01,286,16.7,51,0.0,148,74,103,6.9
2020-01-01,287,19.6,64,14.2,103,51,72,6.9
2020-01-01,288,15.7,62,8.3,116,58,81,5.7
2020-01-01,289,19.6,56,10.9,145,72,101,5.2
2020-01-01,290,19.2,61,52.5,118,59,82,7.6
2020-01-01,291,8.2,62,29.8,127,63,88,7.0
2020-01-01,292,17.7,57,27.5,139,69,97,7.1
2020-01-01,293,18.6,61,50.2,113,56,79,6.8
2020-01-01,294,16.4,43,0.0,159,79,111,7.7
2020-01-01,295,22.5,69,25.3,122,61,85,7.7
2020-01-01,296,21.1,42,21.2,140,70,98,6.6
2020-01-01,297,26.9,34,0.0,157,78,109,6.9
2020-01-01,298,25.2,44,9.8,149,74,104,6.1
2020-01-01,299,23.6,54,21.0,159,79,111,7.4
2020-01-01,300,23.3,59,26.4,100,50,70,8.6
2020-01-01,301,21.6,30,9.7,117,58,81,6.4
2020-01-01,302,20.9,45,16.2,113,56,79,5.8
2020-01-01,303,30.5,49,54.4,119,59,83,6.7
2020-01-01,304,27.0,39,10.5,116,58,81,6.2
2020-01-01,305,24.8,55,23.7,112,56,78,6.7
2020-01-01,306,19.6,49,29.7,148,74,103,6.4
2020-01-01,307,17.4,67,8.5,150,75,105,7.3
2020-01-01,308,20.7,44,25.9,122,61,85,8.4
2020-01-01,309,21.0,50,20.7,159,79,111,5.0
2020-01-01,310,22.5,67,19.5,128,64,89,8.7
2020-01-01,311,25.7,54,0.0,124,62,86,5.6
2020-01-01,312,19.0,55,4.5,111,55,77,6.5
2020-01-01,313,15.6,70,10.7,143,71,100,6.4
2020-01-01,314,18.7,44,13.7,156,78,109,6.6
2020-01-01,315,14.7,65,23.5,151,75,105,6.0
2020-01-01,316,20.1,44,36.6,136,68,95,6.5
2020-01-01,317,19.2,79,75.3,114,57,79,7.7
2020-01-01,318,21.3,59,76.2,143,71,100,4.5
2020-01-01,319,16.9,63,70.9,107,53,74,7.2
2020-01-01,320,20.1,49,22.3,123,61,86,5.4
2020-01-01,321,22.1,47,29.6,145,72,101,8.2
2020-01-01,322,18.0,66,40.2,123,61,86,6.9
2020-01-01,323,18.3,45,63.1,128,64,89,5.7
2020-01-01,324,21.3,66,18.4,136,68,95,7.9
2020-01-01,325,17.3,49,31.8,108,54,75,4.3
2020-01-01,326,20.7,62,42.9,156,78,109,5.0
2020-01-01,327,20.8,52,6.0,144,72,100,7.2
2020-01-01,328,26.4,46,16.7,143,71,100,5.0
2020-01-01,329,26.5,51,35.0,140,70,98,7.9
2020-01-01,330,28.5,45,67.0,109,54,76,6.5
2020-01-01,331,25.6,49,27.4,127,63,88,7.1
2020-01-01,332,21.5,61,47.7,115,57,80,9.7
2020-01-01,333,23.6,69,49.9,145,72,101,8.1
2020-01-01,334,18.6,52,4.7,120,60,84,7.8
2020-01-01,335,23.0,62,19.9,144,72,100,6.7
2020-01-01,336,17.3,57,35.0,138,69,96,5.5
2020-01-01,337,17.9,63,64.3,148,74,103,5.9
2020-01-01,338,25.2,54,34.2,156,78,109,5.1
2020-01-01,339,14.9,49,34.4,152,76,106,4.3
2020-01-01,340,21.3,45,0.0,109,54,76,5.7
2020-01-01,341,21.9,70,56.7,103,51,72,5.9
2020-01-01,342,23.0,57,25.3,148,74,103,7.2
2020-01-01,343,14.7,67,31.4,110,55,77,7.4
2020-01-01,344,15.6,42,34.0,155,77,108,4.6
2020-01-01,345,22.7,58,60.7,145,72,101,5.7
2020-01-01,346,19.4,62,41.7,122,61,85,5.0
2020-01-01,347,18.0,37,0.0,136,68,95,6.0
2020-01-01,348,25.6,59,38.8,117,58,81,5.5
2020-01-01,349,26.3,53,48.1,125,62,87,6.4
2020-01-01,350,17.2,76,51.5,140,70,98,6.1
2020-01-01,351,22.8,52,15.1,121,60,84,5.9
2020-01-01,352,25.0,54,29.1,149,74,104,7.4
2020-01-01,353,21.9,64,64.6,103,51,72,6.4
2020-01-01,354,23.0,43,26.1,128,64,89,6.3
2020-01-01,355,26.1,51,0.0,157,78,109,5.0
2020-01-01,356,23.5,44,29.1,108,54,75,5.7
2020-01-01,357,21.4,48,16.0,125,62,87,5.6
2020-01-01,358,20.7,63,27.5,111,55,77,5.6
2020-01-01,359,20.7,57,46.5,116,58,81,7.3
2020-01-01,360,16.5,51,48.0,113,56,79,3.9
2020-01-01,361,20.2,64,42.2,137,68,95,5.5
2020-01-01,362,18.2,53,24.3,131,65,91,5.8
2020-01-01,363,24.6,57,23.6,139,69,97,4.3
2020-01-01,364,16.3,54,33.8,157,78,109,7.3
2020-01-01,365,24.5,66,49.2,148,74,103,6.8
2020-01-01,366,17.7,39,0.0,157,78,109,7.6
2020-01-01,367,12.7,61,60.1,106,53,74,5.1
2020-01-01,368,12.6,63,39.4,102,51,71,6.8
2020-01-01,369,12.8,65,48.4,153,76,107,8.1
2020-01-01,370,13.8,75,66.5,123,61,86,7.4
2020-01-01,371,12.0,52,31.9,156,78,109,6.9
2020-01-01,372,7.8,30,39.6,137,68,95,8.2
2020-01-01,373,23.9,66,22.5,143,71,100,7.1
2020-01-01,374,16.2,42,5.2,116,58,81,7.0
2020-01-01,375,17.3,54,4.2,105,52,73,6.4
2020-01-01,376,19.2,61,13.3,125,62,87,4.7
2020-01-01,377,18.6,51,26.3,143,71,100,6.8
2020-01-01,378,15.5,57,35.1,148,74,103,5.0
2020-01-01,379,21.6,41,2.7,155,77,108,6.4
2020-01-01,380,20.1,58,42.1,154,77,107,7.6
2020-01-01,381,21.8,52,29.6,102,51,71,7.4
2020-01-01,382,22.8,57,12.3,100,50,70,7.2
2020-01-01,383,18.9,67,19.7,110,55,77,6.1
2020-01-01,384,22.3,68,33.0,124,62,86,7.0
2020-01-01,385,23.1,68,65.6,100,50,70,3.7
2020-01-01,386,25.8,43,6.6,118,59,82,5.4
2020-01-01,387,17.4,56,12.2,126,63,88,3.7
2020-01-01,388,26.0,56,79.5,157,78,109,6.1
2020-01-01,389,25.7,53,0.0,131,65,91,7.5
2020-01-01,390,20.1,49,24.8,116,58,81,5.1
2020-01-01,391,18.3,52,55.1,158,79,110,5.2
2020-01-01,392,22.1,80,51.5,154,77,107,7.7
2020-01-01,393,27.1,58,12.5,137,68,95,7.9
2020-01-01,394,24.2,47,15.4,129,64,90,5.7
2020-01-01,395,24.6,43,31.5,121,60,84,6.0
2020-01-01,396,22.8,31,7.7,112,56,78,4.7
2020-01-01,397,25.9,40,20.2,154,77,107,7.7
2020-01-01,398,16.7,38,20.7,105,52,73,6.2
2020-01-01,399,14.1,70,72.5,112,56,78,6.9
2020-01-01,400,12.2,46,17.4,106,53,74,4.5
2020-01-01,401,12.7,57,8.4,110,55,77,6.8
2020-01-01,402,8.8,49,7.5,106,53,74,5.6
2020-01-01,403,12.4,51,45.4,102,51,71,5.4
2020-01-01,404,14.6,52,18.0,154,77,107,4.6
2020-01-01,405,19.0,56,45.8,103,51,72,6.5
2020-01-01,406,10.0,66,54.4,131,65,91,6.8
2020-01-01,407,21.3,61,11.5,125,62,87,5.7
2020-01-01,408,20.4,53,23.3,130,65,91,7.8
2020-01-01,409,16.7,74,37.0,150,75,105,5.9
2020-01-01,410,24.0,45,4.2,100,50,70,5.2
2020-01-01,411,21.8,58,29.9,150,75,105,4.9
2020-01-01,412,20.1,60,24.9,111,55,77,7.9
2020-01-01,413,19.9,61,10.6,121,60,84,7.9
2020-01-01,414,21.4,67,80.2,126,63,88,6.5
2020-01-01,415,24.8,63,3.6,101,50,70,4.9
2020-01-01,416,19.2,53,70.9,158,79,110,7.4
2020-01-01,417,19.0,63,12.9,140,70,98,6.3
2020-01-01,418,22.8,77,7.2,143,71,100,4.5
2020-01-01,419,16.2,45,0.0,120,60,84,3.4
2020-01-01,420,19.2,61,1.7,140,70,98,6.1
2020-01-01,421,21.6,51,17.2,119,59,83,7.6
2020-01-01,422,20.6,63,8.9,132,66,92,7.3
2020-01-01,423,23.3,58,32.2,114,57,79,5.2
2020-01-01,424,18.2,71,57.3,117,58,81,5.0
2020-01-01,425,17.0,47,28.7,105,52,73,7.8
2020-01-01,426,23.9,60,43.5,136,68,95,7.3
2020-01-01,427,22.3,41,56.8,127,63,88,4.7
2020-01-01,428,20.4,52,10.9,111,55,77,5.1
2020-01-01,429,20.5,68,51.5,126,63,88,5.1
2020-01-01,430,14.4,49,0.0,119,59,83,7.5
2020-01-01,431,14.3,48,6.8,144,72,100,6.9
2020-01-01,432,19.2,37,0.0,149,74,104,4.6
2020-01-01,433,19.3,65,4.1,111,55,77,5.4
2020-01-01,434,9.0,58,20.1,152,76,106,6.8
2020-01-01,435,14.8,41,33.7,122,61,85,6.6
2020-01-01,436,12.2,54,35.0,148,74,103,6.5
2020-01-01,437,14.7,47,27.5,134,67,93,7.0
2020-01-01,438,22.6,75,93.3,105,52,73,4.9
2020-01-01,439,14.6,70,56.4,111,55,77,7.0
2020-01-01,440,11.3,48,14.1,113,56,79,7.1
2020-01-01,441,16.7,52,71.7,128,64,89,5.0
2020-01-01,442,24.3,60,37.9,111,55,77,8.0
2020-01-01,443,19.2,43,8.1,157,78,109,7.0
2020-01-01,444,19.8,68,46.1,152,76,106,5.7
2020-01-01,445,23.6,44,6.3,156,78,109,5.0
2020-01-01,446,19.1,55,35.3,120,60,84,6.6
2020-01-01,447,19.4,62,44.6,145,72,101,5.1
2020-01-01,448,20.6,45,73.5,149,74,104,4.4
2020-01-01,449,21.4,62,75.6,149,74,104,3.3
2020-01-01,450,16.3,51,42.8,139,69,97,5.5
2020-01-01,451,23.6,42,21.1,135,67,94,5.0
2020-01-01,452,19.4,52,11.9,105,52,73,7.5
2020-01-01,453,23.2,56,28.6,159,79,111,5.1
2020-01-01,454,19.5,39,25.0,151,75,105,5.7
2020-01-01,455,18.8,56,0.4,105,52,73,6.3
2020-01-01,456,19.4,47,47.0,109,54,76,5.6
2020-01-01,457,24.2,53,26.0,156,78,109,6.1
2020-01-01,458,27.8,51,36.0,128,64,89,6.1
2020-01-01,459,15.4,45,4.5,151,75,105,7.0
2020-01-01,460,16.9,64,34.0,132,66,92,4.5
2020-01-01,461,17.5,53,38.1,115,57,80,6.8
2020-01-01,462,12.4,64,28.9,128,64,89,7.4
2020-01-01,463,20.1,62,6.6,106,53,74,7.1
2020-01-01,464,18.5,59,15.4,148,74,103,6.1
2020-01-01,465,19.8,43,2.3,121,60,84,8.8
2020-01-01,466,20.1,30,0.0,113,56,79,4.9
2020-01-01,467,20.1,51,41.6,128,64,89,8.5
2020-01-01,468,23.2,51,44.5,117,58,81,5.5
2020-01-01,469,18.7,53,23.4,124,62,86,7.7
2020-01-01,470,23.1,46,8.8,128,64,89,6.7
2020-01-01,471,24.5,65,0.0,153,76,107,7.5
2020-01-01,472,13.8,59,50.7,106,53,74,8.9
2020-01-01,473,6.3,47,39.8,124,62,86,7.2
2020-01-01,474,18.7,51,12.7,108,54,75,8.6
2020-01-01,475,14.8,80,44.6,141,70,98,7.3
2020-01-01,476,9.1,78,40.6,138,69,96,7.1
2020-01-01,477,14.6,55,53.0,114,57,79,4.0
2020-01-01,478,17.7,57,35.1,121,60,84,6.9
2020-01-01,479,17.8,56,45.2,152,76,106,3.8
