region_id,region_name,region_type,parent_region_id,state,latitude,longitude,population,area_sq_km,hospital_count,sanitation_index
41,Region_41,ward,,West Bengal,13.304,86.9322,152132,31.4,16,6.1
42,Region_42,ward,,Tamil Nadu,24.6749,83.2566,634634,5.2,14,8.7
43,Region_43,ward,,Maharashtra,26.7786,74.1487,201035,31.7,9,6.1
44,Region_44,ward,,West Bengal,12.2126,77.4861,356807,20.2,13,8.6
45,Region_45,ward,,Maharashtra,9.846,78.7772,370120,6.3,15,8.1
46,Region_46,ward,,Karnataka,11.2316,79.0694,528462,21.8,8,5.3
47,Region_47,ward,,Delhi,18.9118,85.3535,690805,21.6,18,5.5
48,Region_48,ward,,Karnataka,15.293,86.9294,121832,32.0,11,7.7
49,Region_49,ward,,Maharashtra,15.0736,80.9581,506117,34.2,9,8.7
50,Region_50,ward,,Delhi,25.2921,87.6193,265652,31.4,5,5.7
51,Region_51,ward,,Karnataka,23.6477,78.5874,340222,13.0,8,6.5
52,Region_52,ward,,Maharashtra,25.1719,75.5589,562662,15.5,12,5.9
53,Region_53,ward,,Delhi,15.9693,76.4576,152792,34.0,13,6.4
54,Region_54,ward,,West Bengal,15.9936,87.6984,642262,14.9,5,5.5
55,Region_55,ward,,Karnataka,11.5714,87.4005,358361,6.1,18,6.4
56,Region_56,ward,,Karnataka,16.7279,87.7478,201263,16.6,11,6.0
57,Region_57,ward,,Tamil Nadu,8.0338,86.8092,644607,25.6,11,6.5
58,Region_58,ward,,Maharashtra,26.9775,86.7323,409164,24.9,8,7.9
59,Region_59,ward,,Karnataka,18.1425,82.6703,422027,17.1,14,7.2
60,Region_60,ward,,Delhi,16.4089,87.0458,262480,23.5,14,6.6
61,Region_61,ward,,Maharashtra,14.0775,75.3629,688158,23.2,15,6.9
62,Region_62,ward,,Tamil Nadu,21.5125,80.1788,257934,24.8,14,7.1
63,Region_63,ward,,West Bengal,14.7038,85.0948,326277,25.2,12,8.2
64,Region_64,ward,,Delhi,8.4885,75.9175,578216,23.3,7,6.8
65,Region_65,ward,,West Bengal,11.8887,83.1417,598392,17.0,9,7.6
66,Region_66,ward,,Maharashtra,25.8532,85.767,191764,28.4,12,5.7
67,Region_67,ward,,West Bengal,17.291,80.9185,207253,18.7,19,7.7
68,Region_68,ward,,West Bengal,19.909,87.2006,544071,23.4,18,8.3
69,Region_69,ward,,West Bengal,16.9183,74.5465,577732,18.5,12,8.4
70,Region_70,ward,,Karnataka,23.3163,80.3408,330867,13.2,7,7.9
71,Region_71,ward,,Delhi,13.4343,77.1154,646390,7.4,9,5.9
72,Region_72,ward,,Delhi,22.1284,73.0277,507398,14.9,19,6.7
73,Region_73,ward,,Delhi,24.6578,78.2316,692451,33.4,5,8.4
74,Region_74,ward,,West Bengal,15.6076,72.0943,448845,14.0,17,8.4
75,Region_75,ward,,Tamil Nadu,18.7644,83.7541,311251,19.6,13,6.7
76,Region_76,ward,,Maharashtra,15.7771,82.702,503956,26.7,19,8.7
77,Region_77,ward,,West Bengal,18.6825,86.5109,671807,24.9,7,7.6
78,Region_78,ward,,Delhi,25.337,74.9077,352793,16.4,11,6.8
79,Region_79,ward,,Karnataka,23.2246,78.066,522042,12.6,7,6.9
80,Region_80,ward,,West Bengal,9.0417,87.2307,315113,24.5,6,8.0
81,Region_81,ward,,Delhi,11.9872,72.3261,239784,12.2,20,7.7
82,Region_82,ward,,West Bengal,26.9551,79.4405,348690,28.0,10,7.4
83,Region_83,ward,,Maharashtra,23.5558,74.6203,406147,8.2,5,8.7
84,Region_84,ward,,West Bengal,21.5469,87.3308,495922,33.2,11,5.3
85,Region_85,ward,,Delhi,10.038,84.3597,206935,28.9,6,6.4
86,Region_86,ward,,Tamil Nadu,21.2304,73.1033,437806,5.4,18,8.3
87,Region_87,ward,,Maharashtra,16.6705,77.795,562071,26.2,18,5.7
88,Region_88,ward,,West Bengal,27.3095,76.3213,644315,28.2,19,6.7
89,Region_89,ward,,West Bengal,13.3679,85.6274,170872,13.4,19,6.0
90,Region_90,ward,,Tamil Nadu,19.397,82.691,432737,5.9,15,5.7
91,Region_91,ward,,Delhi,15.0965,76.1336,373243,31.4,13,7.2
92,Region_92,ward,,West Bengal,26.9613,73.3698,506170,19.7,12,7.8
93,Region_93,ward,,Tamil Nadu,16.9635,72.2759,388528,11.6,12,6.2
94,Region_94,ward,,West Bengal,15.3804,80.8556,440455,17.8,15,6.4
95,Region_95,ward,,Tamil Nadu,13.4183,76.0225,206516,26.6,15,5.5
96,Region_96,ward,,West Bengal,27.0176,83.0426,280845,11.5,20,6.1
97,Region_97,ward,,West Bengal,27.5321,80.3942,376745,34.4,11,6.2
98,Region_98,ward,,Karnataka,11.5888,72.2264,640081,8.8,6,8.9
99,Region_99,ward,,West Bengal,13.8427,87.1054,594723,8.1,5,7.3
100,Region_100,ward,,Tamil Nadu,17.5743,77.4513,133872,12.6,20,5.5
