region_id,region_name,city,state,latitude,longitude,population,cluster,total_cases,avg_cases,outbreak_count,outbreak_rate
32,Bengaluru_Ward_10,Bengaluru,Karnataka,12.976395,77.602955,637572,2,8539,25.188790560471976,25,0.07374631268436578
33,Hyderabad_Ward_1,Hyderabad,40,17.388446,78.445645,409709,3,5401,15.387464387464387,19,0.05413105413105413
34,Hyderabad_Ward_2,Hyderabad,40,17.391157,78.467378,490896,3,9841,29.376119402985076,37,0.11044776119402985
35,Hyderabad_Ward_3,Hyderabad,40,17.398501,78.462552,637882,3,7959,26.26732673267327,24,0.07920792079207921
36,Hyderabad_Ward_4,Hyderabad,40,17.372744,78.46954,628625,3,9938,29.577380952380953,32,0.09523809523809523
37,Hyderabad_Ward_5,Hyderabad,40,17.38008,78.497163,476208,3,7377,22.422492401215806,26,0.0790273556231003
38,Hyderabad_Ward_6,Hyderabad,40,17.391287,78.454498,745942,3,12836,40.36477987421384,21,0.0660377358490566
39,Hyderabad_Ward_7,Hyderabad,40,17.371348,78.433637,705550,3,10029,30.48328267477204,27,0.08206686930091185
40,Hyderabad_Ward_8,Hyderabad,40,17.365364,78.465811,441918,3,8563,25.561194029850746,34,0.10149253731343283
41,Hyderabad_Ward_9,Hyderabad,40,17.384923,78.439215,714724,3,14516,43.591591591591595,25,0.07507507507507508
42,Hyderabad_Ward_10,Hyderabad,40,17.399857,78.469937,691206,3,12647,37.306784660766965,46,0.13569321533923304
43,Hyderabad_Ward_11,Hyderabad,40,17.391776,78.514151,687073,3,9068,28.074303405572756,23,0.07120743034055728
44,Hyderabad_Ward_12,Hyderabad,40,17.393821,78.439072,440801,3,7112,23.785953177257525,24,0.0802675585284281
45,Ahmedabad_Ward_1,Ahmedabad,Uttar Pradesh,23.06051,72.559261,503948,4,8825,28.934426229508198,27,0.08852459016393442
46,Ahmedabad_Ward_2,Ahmedabad,Uttar Pradesh,23.042124,72.610676,479423,4,5788,17.864197530864196,18,0.05555555555555555
47,Ahmedabad_Ward_3,Ahmedabad,Uttar Pradesh,23.026474,72.577496,592063,4,9407,28.767584097859327,29,0.08868501529051988
48,Ahmedabad_Ward_4,Ahmedabad,Uttar Pradesh,23.028587,72.580603,431787,4,6508,20.66031746031746,29,0.09206349206349207
49,Ahmedabad_Ward_5,Ahmedabad,Uttar Pradesh,23.033365,72.600256,546398,4,10683,34.02229299363057,35,0.11146496815286625
50,Ahmedabad_Ward_6,Ahmedabad,Uttar Pradesh,23.01599,72.601451,501656,4,7138,22.517350157728707,26,0.08201892744479496
51,Ahmedabad_Ward_7,Ahmedabad,Uttar Pradesh,23.057622,72.602757,550090,4,9188,27.927051671732524,31,0.09422492401215805
52,Ahmedabad_Ward_8,Ahmedabad,Uttar Pradesh,23.015175,72.583709,438507,4,7937,25.686084142394822,27,0.08737864077669903
53,Ahmedabad_Ward_9,Ahmedabad,Uttar Pradesh,23.022001,72.568553,542775,4,7256,22.189602446483182,25,0.0764525993883792
54,Ahmedabad_Ward_10,Ahmedabad,Uttar Pradesh,23.027751,72.588148,701596,4,8467,25.89296636085627,16,0.04892966360856269
55,Ahmedabad_Ward_11,Ahmedabad,Uttar Pradesh,23.028776,72.578267,413774,4,5022,16.629139072847682,26,0.08609271523178808
56,Chennai_Ward_1,Chennai,25,13.097772,80.269243,687029,5,17340,51.30177514792899,36,0.10650887573964497
57,Chennai_Ward_2,Chennai,25,13.092055,80.26913,496671,5,7989,24.35670731707317,35,0.10670731707317073
58,Chennai_Ward_3,Chennai,25,13.100584,80.29275,820181,5,15575,50.08038585209003,29,0.0932475884244373
59,Chennai_Ward_4,Chennai,25,13.075405,80.270067,769281,5,10227,32.88424437299035,20,0.06430868167202572
60,Chennai_Ward_5,Chennai,25,13.0896,80.268432,841561,5,13592,42.87697160883281,31,0.09779179810725552
61,Chennai_Ward_6,Chennai,25,13.100221,80.290673,509485,5,7885,25.852459016393443,24,0.07868852459016394
62,Chennai_Ward_7,Chennai,25,13.088155,80.274882,472456,5,6406,18.622093023255815,26,0.0755813953488372
63,Kolkata_Ward_1,Kolkata,West Bengal,22.567492,88.361088,840507,6,12505,36.88790560471976,30,0.08849557522123894
64,Kolkata_Ward_2,Kolkata,West Bengal,22.594016,88.381114,761813,6,13510,40.089020771513354,25,0.07418397626112759
65,Kolkata_Ward_3,Kolkata,West Bengal,22.562446,88.349581,485988,6,7122,23.899328859060404,22,0.0738255033557047
66,Kolkata_Ward_4,Kolkata,West Bengal,22.560424,88.372248,503282,6,9064,29.52442996742671,27,0.08794788273615635
67,Kolkata_Ward_5,Kolkata,West Bengal,22.555564,88.366521,496817,6,6754,21.50955414012739,26,0.08280254777070063
68,Kolkata_Ward_6,Kolkata,West Bengal,22.541518,88.353077,496286,6,6592,20.159021406727827,15,0.045871559633027525
69,Kolkata_Ward_7,Kolkata,West Bengal,22.575495,88.360641,507281,6,9681,28.727002967359052,28,0.0830860534124629
70,Surat_Ward_1,Surat,Uttar Pradesh,21.19161,72.849297,688700,7,7164,22.4576802507837,10,0.03134796238244514
71,Surat_Ward_2,Surat,Uttar Pradesh,21.206292,72.824212,547117,7,8900,28.802588996763753,25,0.08090614886731391
72,Surat_Ward_3,Surat,Uttar Pradesh,21.196129,72.837334,664981,7,10653,31.424778761061948,32,0.0943952802359882
73,Surat_Ward_4,Surat,Uttar Pradesh,21.228238,72.81872,689072,7,9066,29.339805825242717,23,0.0744336569579288
74,Surat_Ward_5,Surat,Uttar Pradesh,21.183816,72.827864,598180,7,8496,25.59036144578313,27,0.08132530120481928
75,Surat_Ward_6,Surat,Uttar Pradesh,21.201066,72.858373,580934,7,9132,29.649350649350648,22,0.07142857142857142
76,Surat_Ward_7,Surat,Uttar Pradesh,21.203319,72.841359,623717,7,10149,30.026627218934912,23,0.06804733727810651
77,Pune_Ward_1,Pune,Tripura,18.537262,73.848312,672990,0,9515,29.458204334365327,27,0.08359133126934984
78,Pune_Ward_2,Pune,Tripura,18.539878,73.859485,510961,0,10814,33.68847352024922,26,0.08099688473520249
79,Pune_Ward_3,Pune,Tripura,18.519649,73.856055,604786,0,9466,29.767295597484278,33,0.10377358490566038
80,Pune_Ward_4,Pune,Tripura,18.528913,73.834821,574390,0,7614,23.427692307692308,22,0.06769230769230769
81,Pune_Ward_5,Pune,Tripura,18.524555,73.844123,527088,0,7424,23.055900621118013,30,0.09316770186335403
82,Pune_Ward_6,Pune,Tripura,18.520583,73.870749,490586,0,6942,22.91089108910891,22,0.07260726072607261
83,Jaipur_Ward_1,Jaipur,Gujarat,26.929301,75.808339,341915,1,5503,16.932307692307692,27,0.08307692307692308
84,Jaipur_Ward_2,Jaipur,Gujarat,26.893239,75.801101,276881,1,3424,11.686006825938566,14,0.04778156996587031
85,Jaipur_Ward_3,Jaipur,Gujarat,26.944049,75.767108,370845,1,7774,26.532423208191126,27,0.09215017064846416
86,Jaipur_Ward_4,Jaipur,Gujarat,26.918787,75.787717,273317,1,4110,12.965299684542586,18,0.056782334384858045
87,Jaipur_Ward_5,Jaipur,Gujarat,26.925119,75.773712,246473,1,3280,11.590106007067138,16,0.05653710247349823
88,Jaipur_Ward_6,Jaipur,Gujarat,26.933947,75.78111,220700,1,2808,8.407185628742514,18,0.05389221556886228
89,Jaipur_Ward_7,Jaipur,Gujarat,26.918015,75.772281,250942,1,3908,12.897689768976898,26,0.0858085808580858
90,Jaipur_Ward_8,Jaipur,Gujarat,26.920149,75.795529,228174,1,2868,9.496688741721854,25,0.08278145695364239
91,Jaipur_Ward_9,Jaipur,Gujarat,26.917935,75.784495,360580,1,6018,19.28846153846154,30,0.09615384615384616
92,Jaipur_Ward_10,Jaipur,Gujarat,26.910983,75.823422,280657,1,4793,15.264331210191083,24,0.07643312101910828
93,Kanpur_Ward_1,Kanpur,Telangana,26.473878,80.354419,473837,8,5556,18.644295302013422,25,0.08389261744966443
94,Kanpur_Ward_2,Kanpur,Telangana,26.450897,80.337592,435895,8,6002,17.863095238095237,25,0.0744047619047619
95,Kanpur_Ward_3,Kanpur,Telangana,26.455531,80.333527,363190,8,7667,22.75074183976261,24,0.0712166172106825
96,Kanpur_Ward_4,Kanpur,Telangana,26.478455,80.33664,481017,8,6262,19.386996904024766,23,0.07120743034055728
97,Kanpur_Ward_5,Kanpur,Telangana,26.449671,80.346895,409495,8,6336,20.980132450331126,24,0.07947019867549669
98,Kanpur_Ward_6,Kanpur,Telangana,26.493871,80.350165,396353,8,5032,16.076677316293928,25,0.07987220447284345
99,Navi Mumbai_Ward_1,Navi Mumbai,Tripura,19.02705,73.008513,211104,0,2843,9.670068027210885,23,0.0782312925170068
100,Navi Mumbai_Ward_2,Navi Mumbai,Tripura,19.024346,73.021674,317019,0,4978,15.955128205128204,18,0.057692307692307696
101,Navi Mumbai_Ward_3,Navi Mumbai,Tripura,19.044324,73.001157,326982,0,4775,15.015723270440251,25,0.07861635220125786
102,Navi Mumbai_Ward_4,Navi Mumbai,Tripura,19.04496,73.007352,248368,0,4001,14.655677655677655,26,0.09523809523809523
103,Navi Mumbai_Ward_5,Navi Mumbai,Tripura,19.040706,73.002255,227026,0,3325,11.157718120805368,17,0.05704697986577181
104,Navi Mumbai_Ward_6,Navi Mumbai,Tripura,19.018645,73.013592,202968,0,4480,14.933333333333334,32,0.10666666666666667
105,Navi Mumbai_Ward_7,Navi Mumbai,Tripura,19.051904,73.007167,221723,0,2777,8.815873015873017,19,0.06031746031746032
106,Navi Mumbai_Ward_8,Navi Mumbai,Tripura,19.058434,72.989266,327006,0,4529,14.704545454545455,22,0.07142857142857142
107,Navi Mumbai_Ward_9,Navi Mumbai,Tripura,19.042377,73.00676,328381,0,4924,15.197530864197532,27,0.08333333333333333
108,Navi Mumbai_Ward_10,Navi Mumbai,Tripura,19.034475,73.014022,306061,0,3895,13.33904109589041,28,0.0958904109589041
109,Lucknow_Ward_1,Lucknow,Telangana,26.845197,80.916815,301891,8,5708,20.169611307420496,25,0.08833922261484099
110,Lucknow_Ward_2,Lucknow,Telangana,26.83439,80.919378,254387,8,4596,14.273291925465838,33,0.10248447204968944
111,Lucknow_Ward_3,Lucknow,Telangana,26.839556,80.948277,230535,8,3054,10.86832740213523,19,0.06761565836298933
112,Lucknow_Ward_4,Lucknow,Telangana,26.806113,80.909858,347151,8,5154,17.29530201342282,22,0.0738255033557047
113,Lucknow_Ward_5,Lucknow,Telangana,26.844357,80.916901,294455,8,4367,12.99702380952381,28,0.08333333333333333
114,Lucknow_Ward_6,Lucknow,Telangana,26.843003,80.906759,314869,8,6408,20.27848101265823,32,0.10126582278481013
115,Lucknow_Ward_7,Lucknow,Telangana,26.846465,80.928135,248642,8,2939,9.796666666666667,27,0.09
116,Lucknow_Ward_8,Lucknow,Telangana,26.824599,80.916719,311294,8,4285,14.00326797385621,28,0.0915032679738562
117,Lucknow_Ward_9,Lucknow,Telangana,26.845482,80.951282,233763,8,2827,9.989399293286219,28,0.0989399293286219
118,Nagpur_Ward_1,Nagpur,Tripura,21.168751,79.087618,427756,9,5182,16.879478827361563,21,0.06840390879478828
119,Nagpur_Ward_2,Nagpur,Tripura,21.147951,79.095796,448251,9,7283,23.34294871794872,28,0.08974358974358974
120,Nagpur_Ward_3,Nagpur,Tripura,21.153382,79.064788,457824,9,7324,21.92814371257485,24,0.0718562874251497
121,Nagpur_Ward_4,Nagpur,Tripura,21.131466,79.083023,517580,9,11136,35.352380952380955,30,0.09523809523809523
122,Nagpur_Ward_5,Nagpur,Tripura,21.162723,79.076089,361297,9,5290,16.635220125786162,20,0.06289308176100629
123,Nagpur_Ward_6,Nagpur,Tripura,21.131128,79.060087,409940,9,5861,18.145510835913313,25,0.07739938080495357
124,Coimbatore_Ward_1,Coimbatore,25,10.986124,76.943579,345988,10,5678,17.52469135802469,28,0.08641975308641975
125,Coimbatore_Ward_2,Coimbatore,25,10.965097,76.965306,444800,10,7239,24.29194630872483,22,0.0738255033557047
126,Coimbatore_Ward_3,Coimbatore,25,11.022448,76.950862,454678,10,7568,25.142857142857142,21,0.06976744186046512
127,Coimbatore_Ward_4,Coimbatore,25,11.04415,76.967008,263640,10,5065,16.233974358974358,37,0.11858974358974358
128,Coimbatore_Ward_5,Coimbatore,25,11.003385,77.004669,263347,10,3814,12.885135135135135,20,0.06756756756756757
129,Coimbatore_Ward_6,Coimbatore,25,10.965785,76.982493,334945,10,5536,17.463722397476342,30,0.0946372239747634
130,Indore_Ward_1,Indore,35,22.712348,75.831052,286676,11,4665,14.762658227848101,23,0.07278481012658228
131,Indore_Ward_2,Indore,35,22.731955,75.852373,238083,11,2846,9.361842105263158,18,0.05921052631578947
132,Indore_Ward_3,Indore,35,22.700984,75.834781,268288,11,3361,11.278523489932885,14,0.04697986577181208
133,Indore_Ward_4,Indore,35,22.714315,75.827678,376727,11,5428,17.45337620578778,28,0.09003215434083602
134,Indore_Ward_5,Indore,35,22.73531,75.823442,411443,11,6648,21.376205787781352,26,0.08360128617363344
135,Indore_Ward_6,Indore,35,22.722812,75.814533,316727,11,4904,16.13157894736842,24,0.07894736842105263
136,Thane_Ward_1,Thane,Tripura,19.212775,72.983286,226459,0,3249,11.28125,24,0.08333333333333333
137,Thane_Ward_2,Thane,Tripura,19.165811,72.988997,230627,0,3272,10.387301587301588,19,0.06031746031746032
138,Thane_Ward_3,Thane,Tripura,19.203027,72.978127,310398,0,4799,16.26779661016949,23,0.07796610169491526
139,Thane_Ward_4,Thane,Tripura,19.201657,72.937897,284137,0,3791,11.664615384615384,20,0.06153846153846154
140,Thane_Ward_5,Thane,Tripura,19.19428,72.944223,227129,0,4537,16.320143884892087,26,0.09352517985611511
141,Thane_Ward_6,Thane,Tripura,19.199978,72.948874,227405,0,3634,12.073089700996677,23,0.07641196013289037
142,Thane_Ward_7,Thane,Tripura,19.204129,72.987858,289118,0,4048,13.815699658703071,18,0.06143344709897611
143,Vadodara_Ward_1,Vadodara,Uttar Pradesh,22.271797,73.188926,263271,4,3931,12.284375,20,0.0625
144,Vadodara_Ward_2,Vadodara,Uttar Pradesh,22.288524,73.186605,243026,4,2726,8.737179487179487,21,0.0673076923076923
145,Vadodara_Ward_3,Vadodara,Uttar Pradesh,22.284772,73.223925,270688,4,4771,16.172881355932205,21,0.0711864406779661
146,Vadodara_Ward_4,Vadodara,Uttar Pradesh,22.302183,73.217234,190254,4,3950,13.908450704225352,25,0.0880281690140845
147,Vadodara_Ward_5,Vadodara,Uttar Pradesh,22.316649,73.197572,198871,4,2835,9.387417218543046,23,0.076158940397351
148,Vadodara_Ward_6,Vadodara,Uttar Pradesh,22.325972,73.184751,310157,4,6415,20.49520766773163,36,0.11501597444089456
149,Vadodara_Ward_7,Vadodara,Uttar Pradesh,22.308737,73.184567,238602,4,3952,13.396610169491526,22,0.07457627118644068
150,Bhopal_Ward_1,Bhopal,35,23.264,77.418859,204876,12,3456,11.148387096774194,31,0.1
151,Bhopal_Ward_2,Bhopal,35,23.267199,77.409778,152812,12,2425,9.048507462686567,26,0.09701492537313433
152,Bhopal_Ward_3,Bhopal,35,23.257805,77.415167,129537,12,2520,9.23076923076923,25,0.09157509157509157
153,Bhopal_Ward_4,Bhopal,35,23.254097,77.413113,218882,12,3111,10.003215434083602,29,0.0932475884244373
154,Bhopal_Ward_5,Bhopal,35,23.246949,77.381813,138882,12,2357,9.065384615384616,20,0.07692307692307693
155,Bhopal_Ward_6,Bhopal,35,23.273526,77.389471,132926,12,2248,8.483018867924528,19,0.07169811320754717
156,Bhopal_Ward_7,Bhopal,35,23.257638,77.415906,192321,12,3137,9.803125,24,0.075
157,Bhopal_Ward_8,Bhopal,35,23.255924,77.418872,227193,12,3347,10.298461538461538,26,0.08
158,Bhopal_Ward_9,Bhopal,35,23.27583,77.416687,232050,12,3430,10.82018927444795,23,0.07255520504731862
159,Bhopal_Ward_10,Bhopal,35,23.278384,77.395047,151636,12,2056,6.8762541806020065,21,0.07023411371237458
160,Rasapudipalem_Ward_1,Rasapudipalem,Himachal Pradesh,17.7193,83.287215,191439,13,3417,12.074204946996467,23,0.0812720848056537
161,Rasapudipalem_Ward_2,Rasapudipalem,Himachal Pradesh,17.747845,83.31301,218925,13,3470,11.96551724137931,24,0.08275862068965517
162,Rasapudipalem_Ward_3,Rasapudipalem,Himachal Pradesh,17.738816,83.333727,174127,13,2589,9.380434782608695,18,0.06521739130434782
163,Rasapudipalem_Ward_4,Rasapudipalem,Himachal Pradesh,17.723733,83.307888,201801,13,4202,13.68729641693811,33,0.10749185667752444
164,Rasapudipalem_Ward_5,Rasapudipalem,Himachal Pradesh,17.724519,83.321374,144240,13,2064,6.7894736842105265,20,0.06578947368421052
165,Rasapudipalem_Ward_6,Rasapudipalem,Himachal Pradesh,17.756293,83.343158,130454,13,1639,5.791519434628976,13,0.045936395759717315
166,Rasapudipalem_Ward_7,Rasapudipalem,Himachal Pradesh,17.727264,83.324372,178085,13,3185,11.214788732394366,32,0.11267605633802817
167,Rasapudipalem_Ward_8,Rasapudipalem,Himachal Pradesh,17.71239,83.305256,195977,13,4435,15.671378091872791,33,0.1166077738515901
168,Rasapudipalem_Ward_9,Rasapudipalem,Himachal Pradesh,17.736437,83.264008,182393,13,2795,10.390334572490707,24,0.08921933085501858
169,Rasapudipalem_Ward_10,Rasapudipalem,Himachal Pradesh,17.743308,83.343921,148655,13,2367,8.393617021276595,29,0.10283687943262411
170,Pimpri-Chinchwad_Ward_1,Pimpri-Chinchwad,Tripura,18.635301,73.809834,346173,0,5362,17.076433121019107,26,0.08280254777070063
171,Pimpri-Chinchwad_Ward_2,Pimpri-Chinchwad,Tripura,18.639402,73.813481,228965,0,4942,17.401408450704224,25,0.0880281690140845
172,Pimpri-Chinchwad_Ward_3,Pimpri-Chinchwad,Tripura,18.620871,73.793407,342882,0,5125,16.63961038961039,29,0.09415584415584416
173,Pimpri-Chinchwad_Ward_4,Pimpri-Chinchwad,Tripura,18.621536,73.804447,310721,0,4753,14.490853658536585,22,0.06707317073170732
174,Pimpri-Chinchwad_Ward_5,Pimpri-Chinchwad,Tripura,18.651119,73.807749,295077,0,5403,16.99056603773585,26,0.08176100628930817
175,Pimpri-Chinchwad_Ward_6,Pimpri-Chinchwad,Tripura,18.627788,73.806549,219274,0,4155,13.803986710963455,32,0.10631229235880399
176,Patna_Ward_1,Patna,Puducherry,25.596991,85.130186,176732,14,2352,8.25263157894737,26,0.0912280701754386
177,Patna_Ward_2,Patna,Puducherry,25.585696,85.141288,194528,14,3301,11.189830508474577,26,0.08813559322033898
178,Patna_Ward_3,Patna,Puducherry,25.593094,85.110115,218667,14,2612,8.945205479452055,21,0.07191780821917808
179,Patna_Ward_4,Patna,Puducherry,25.60068,85.128099,188002,14,2725,8.790322580645162,27,0.08709677419354839
180,Patna_Ward_5,Patna,Puducherry,25.585619,85.132294,213259,14,3043,10.315254237288135,19,0.06440677966101695
181,Patna_Ward_6,Patna,Puducherry,25.571197,85.125251,217338,14,3102,10.47972972972973,23,0.0777027027027027
182,Patna_Ward_7,Patna,Puducherry,25.599361,85.136743,155142,14,2223,7.939285714285714,21,0.075
183,Patna_Ward_8,Patna,Puducherry,25.599221,85.142481,195807,14,2866,8.606606606606606,30,0.09009009009009009
184,Patna_Ward_9,Patna,Puducherry,25.614017,85.154368,166561,14,2943,10.510714285714286,26,0.09285714285714286
185,Patna_Ward_10,Patna,Puducherry,25.583934,85.162644,138164,14,2128,7.627240143369176,21,0.07526881720430108
186,Kallakurichi_Ward_1,Kallakurichi,25,11.723574,78.949731,233924,10,3795,11.430722891566266,25,0.07530120481927711
187,Kallakurichi_Ward_2,Kallakurichi,25,11.727005,78.922892,254808,10,4702,14.64797507788162,28,0.08722741433021806
188,Kallakurichi_Ward_3,Kallakurichi,25,11.740172,78.958887,183402,10,2829,9.721649484536082,22,0.07560137457044673
189,Kallakurichi_Ward_4,Kallakurichi,25,11.733736,78.941875,257424,10,3305,11.39655172413793,15,0.05172413793103448
190,Kallakurichi_Ward_5,Kallakurichi,25,11.734193,78.946105,218838,10,3391,11.379194630872483,25,0.08389261744966443
191,Kallakurichi_Ward_6,Kallakurichi,25,11.718766,78.955033,250124,10,4457,13.9717868338558,26,0.08150470219435736
192,Kallakurichi_Ward_7,Kallakurichi,25,11.742379,78.963383,270162,10,4855,15.12461059190031,29,0.09034267912772585
193,Ludhiana_Ward_1,Ludhiana,Madhya Pradesh,30.912934,75.844086,182193,1,3417,11.989473684210527,31,0.10877192982456141
194,Ludhiana_Ward_2,Ludhiana,Madhya Pradesh,30.921568,75.855508,192706,1,3509,11.467320261437909,27,0.08823529411764706
195,Ludhiana_Ward_3,Ludhiana,Madhya Pradesh,30.938079,75.856759,121249,1,2340,8.634686346863468,28,0.1033210332103321
196,Ludhiana_Ward_4,Ludhiana,Madhya Pradesh,30.904782,75.838316,190026,1,2774,9.006493506493506,17,0.05519480519480519
197,Ludhiana_Ward_5,Ludhiana,Madhya Pradesh,30.937953,75.860335,135511,1,3348,11.234899328859061,33,0.11073825503355705
198,Ludhiana_Ward_6,Ludhiana,Madhya Pradesh,30.91384,75.846256,116298,1,1428,5.6892430278884465,22,0.08764940239043825
199,Ludhiana_Ward_7,Ludhiana,Madhya Pradesh,30.918028,75.863498,185461,1,2751,8.902912621359222,18,0.05825242718446602
200,Ludhiana_Ward_8,Ludhiana,Madhya Pradesh,30.890074,75.830363,183766,1,2735,8.738019169329073,28,0.08945686900958466
201,Ludhiana_Ward_9,Ludhiana,Madhya Pradesh,30.909451,75.867045,140209,1,1901,6.74113475177305,20,0.07092198581560284
202,Ludhiana_Ward_10,Ludhiana,Madhya Pradesh,30.932741,75.859814,201617,1,3889,14.090579710144928,24,0.08695652173913043
203,Nashik_Ward_1,Nashik,Tripura,19.996887,73.808551,140075,0,2120,7.491166077738516,26,0.09187279151943463
204,Nashik_Ward_2,Nashik,Tripura,19.954542,73.773626,154326,0,2160,7.6325088339222615,20,0.0706713780918728
205,Nashik_Ward_3,Nashik,Tripura,19.97785,73.808372,192210,0,2951,9.836666666666666,27,0.09
206,Nashik_Ward_4,Nashik,Tripura,20.004426,73.759533,197699,0,2520,8.63013698630137,22,0.07534246575342465
207,Nashik_Ward_5,Nashik,Tripura,20.019781,73.803713,132130,0,2458,9.003663003663004,23,0.08424908424908426
208,Nashik_Ward_6,Nashik,Tripura,20.028421,73.7964,201601,0,2830,9.658703071672354,15,0.051194539249146756
209,Nashik_Ward_7,Nashik,Tripura,19.996196,73.790402,168204,0,2110,6.762820512820513,25,0.08012820512820513
210,Nashik_Ward_8,Nashik,Tripura,19.996059,73.782129,130278,0,2111,8.150579150579151,16,0.06177606177606178
211,Nashik_Ward_9,Nashik,Tripura,20.011015,73.796157,160633,0,1636,5.660899653979238,16,0.05536332179930796
212,Madurai_Ward_1,Madurai,25,9.916906,78.105453,231162,10,2768,8.957928802588997,19,0.061488673139158574
213,Madurai_Ward_2,Madurai,25,9.909643,78.14824,255622,10,4147,14.15358361774744,27,0.09215017064846416
214,Madurai_Ward_3,Madurai,25,9.926435,78.119067,224179,10,3631,11.78896103896104,23,0.07467532467532467
215,Madurai_Ward_4,Madurai,25,9.935583,78.137335,173656,10,2425,8.333333333333334,14,0.048109965635738834
216,Madurai_Ward_5,Madurai,25,9.901805,78.134607,244849,10,3534,11.93918918918919,23,0.0777027027027027
217,Madurai_Ward_6,Madurai,25,9.915338,78.133991,187646,10,2895,10.643382352941176,28,0.10294117647058823
218,Madurai_Ward_7,Madurai,25,9.929518,78.138876,161663,10,2125,7.327586206896552,20,0.06896551724137931
219,Tirunelveli_Ward_1,Tirunelveli,25,8.710976,77.662199,149599,15,1741,6.045138888888889,16,0.05555555555555555
220,Tirunelveli_Ward_2,Tirunelveli,25,8.695119,77.664403,118683,15,1667,6.411538461538462,18,0.06923076923076923
